,seq,ni,no1,no2,F1_emp,F2_emp,F1_model,F2_model
0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",800,358,253,0.0,0.0,0.0,0.0
1,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",679,933,639,1.1199221986387706,1.0879020582333878,0.6786496355380823,0.692522807418691
2,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",370,210,113,0.23819462944871184,-0.03147693416311692,-0.12466378773941234,-0.22978856885041518
3,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",445,697,389,1.2504387093223888,1.0143544671534506,0.6489528751394494,0.5547837598115567
4,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",1292,548,439,-0.05408337868224644,0.07058102819027212,0.12947249069476688,0.1785077813055301
5,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",963,975,633,0.8149098503826272,0.729484339876503,0.474873692957585,0.556275120317341
6,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",783,259,200,-0.30118883075479985,-0.2125774322415095,-0.06061666757115858,-0.12383115630343228
7,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",750,396,201,0.16506918750313604,-0.1646112743131074,0.3559452499592609,0.37055378286027324
8,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",754,1370,924,1.39911648889337,1.3516026683132232,1.043677558632272,1.065695472834071
9,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",733,1105,702,1.212534712047845,1.1053745432459718,1.1806908030760517,1.2705391287201042
10,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",447,776,495,1.3531856765327426,1.250309374359765,1.0470983936878726,1.0717629340841568
11,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",444,606,445,1.1129930674733384,1.1507713499036465,1.1963770622019418,1.246992091066612
12,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",1180,1687,1275,1.1597214175386206,1.2258953277571956,0.9738621678570689,1.1215225207866375
13,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",861,1536,1025,1.380871031454983,1.3226944351168444,1.0277166618786104,1.1787223291972233
14,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",609,967,760,1.2643116886893004,1.3697010807441514,0.8732847343182206,1.028610953829516
15,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",514,1079,717,1.5430879780346096,1.4808293484343107,0.9155983403368738,1.0807643422451378
16,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",1280,476,220,-0.18534125242831256,-0.6087069203291589,-0.6220277075532548,-0.6164466032186229
17,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",1263,435,279,-0.261855772777688,-0.35872029148773055,0.13113392809113916,0.143867699178013
18,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",765,222,147,-0.43147183970039205,-0.49544321592665375,-0.7761114866231829,-0.8032464693285177
19,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",714,294,207,-0.08276862777410743,-0.0862177829428672,0.09650152707135949,0.07466834151562549
20,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",1751,509,387,-0.4315639871978849,-0.3589812518232407,-0.8470549895937503,-0.7785818976870399
21,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",1633,420,304,-0.5536148831574865,-0.529947818762714,-0.6617933432654898,-0.5276442252363881
22,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",1173,320,222,-0.49419231867794555,-0.5124735488781003,-1.0336465570355473,-1.040063986220829
23,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",1140,262,147,-0.6649677591042307,-0.893921396048138,-0.7527398447303164,-0.6469577264140561
24,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",1036,1041,542,0.8073485726638653,0.5015487917542307,0.5747133173835489,0.4064919583793404
25,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",866,1359,797,1.252739560529636,1.0655963007190896,0.7965570476799795,0.6992604074432097
26,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",517,413,241,0.5784292901459116,0.3874891639470259,0.6044956260457779,0.4832266025377551
27,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",592,811,468,1.1168444997440328,0.9139350494983766,0.8630891311218671,0.7719315399022728
28,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",1594,1013,577,0.34956772751226395,0.13347153350325502,0.39727335757918664,0.27984671639856334
29,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",1481,1114,656,0.5180004366182673,0.33506289267840095,0.30130678141250966,0.23035015644788137
30,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",1126,647,396,0.2491147408925789,0.10514844669723677,0.35597497980161064,0.2554704786844239
31,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",1157,562,404,0.0813685285868303,0.09796408902342124,0.27295186634141433,0.2264784859430041
32,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",40,7,7,-0.8315919664443914,-0.48560384497464915,-0.21425958453597768,-0.19305137910534662
33,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",36,26,18,0.487457511940185,0.4820477465720385,0.5021530212894686,0.5668863637035425
34,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",113,24,21,-0.7147840649462145,-0.496629314986357,-0.32460493023257686,-0.39956075689425674
35,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",48,31,30,0.37645416326918024,0.6906935864243423,0.4954135441750328,0.3447094752457115
36,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",125,29,10,-0.6325459667092423,-1.2898599541032847,-0.34780678221101263,-0.22732369635621708
37,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",54,13,17,-0.5657372970371319,0.0315652527135164,-0.013002217156280284,0.1703618283246625
38,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",100,16,6,-0.9793686142049629,-1.5206836877361236,-0.5179215983818283,-0.5349421505974371
