,seq,ni,no1,no2,F1_emp,F2_emp,F1_model
0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",800,358,253,0.0,0.0,0.37088352
1,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",679,933,639,1.1199221986387706,1.0879020582333878,0.7216771
2,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",370,210,113,0.23819462944871184,-0.03147693416311692,0.020296454
3,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",445,697,389,1.2504387093223888,1.0143544671534506,0.40726018
4,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",1292,548,439,-0.05408337868224644,0.07058102819027212,-0.05540681
5,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",963,975,633,0.8149098503826272,0.729484339876503,0.3293869
6,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",783,259,200,-0.30118883075479985,-0.2125774322415095,-0.3526175
7,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",750,396,201,0.16506918750313604,-0.1646112743131074,-0.020149767
8,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",754,1370,924,1.39911648889337,1.3516026683132232,1.2893779
9,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",733,1105,702,1.212534712047845,1.1053745432459718,1.2991267
10,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",447,776,495,1.3531856765327426,1.250309374359765,1.2722046
11,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",444,606,445,1.1129930674733384,1.1507713499036465,1.290632
12,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",1180,1687,1275,1.1597214175386206,1.2258953277571956,1.2666235
13,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",861,1536,1025,1.380871031454983,1.3226944351168444,1.2878565
14,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",609,967,760,1.2643116886893004,1.3697010807441514,1.2297697
15,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",514,1079,717,1.5430879780346096,1.4808293484343107,1.2693424
16,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",1280,476,220,-0.18534125242831256,-0.6087069203291589,-0.6396401
17,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",1263,435,279,-0.261855772777688,-0.35872029148773055,-0.4428699
18,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",765,222,147,-0.43147183970039205,-0.49544321592665375,-0.74466074
19,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",714,294,207,-0.08276862777410743,-0.0862177829428672,-0.62497246
20,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",1751,509,387,-0.4315639871978849,-0.3589812518232407,-0.7612232
21,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",1633,420,304,-0.5536148831574865,-0.529947818762714,-0.65528286
22,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",1173,320,222,-0.49419231867794555,-0.5124735488781003,-0.81333685
23,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",1140,262,147,-0.6649677591042307,-0.893921396048138,-0.75371146
24,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",1036,1041,542,0.8073485726638653,0.5015487917542307,1.1141454
25,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",866,1359,797,1.252739560529636,1.0655963007190896,1.209081
26,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",517,413,241,0.5784292901459116,0.3874891639470259,0.96468496
27,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",592,811,468,1.1168444997440328,0.9139350494983766,1.1259172
28,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",1594,1013,577,0.34956772751226395,0.13347153350325502,0.9203805
29,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",1481,1114,656,0.5180004366182673,0.33506289267840095,1.1000326
30,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",1126,647,396,0.2491147408925789,0.10514844669723677,0.6697991
